image_id,split,preview_path,sampling_reason,dimension_or_box_mismatch
levle0_120,train,images/levle0_120.jpg,duplicate_group,
levle0_131,train,images/levle0_131.jpg,duplicate_group,
levle0_141,train,images/levle0_141.jpg,random_train,
levle0_167,train,images/levle0_167.jpg,seeded_random,
levle0_173,test,images/levle0_173.jpg,random_test,
levle0_227,test,images/levle0_227.jpg,random_test,
levle0_24,train,images/levle0_24.jpg,duplicate_group,
levle0_319,train,images/levle0_319.jpg,seeded_random,
levle0_360,val,images/levle0_360.jpg,seeded_random,
levle0_406,test,images/levle0_406.jpg,random_test,
levle0_42,train,images/levle0_42.jpg,duplicate_group,
levle0_528,train,images/levle0_528.jpg,seeded_random,
levle0_94,train,images/levle0_94.jpg,duplicate_group,
levle1_115,train,images/levle1_115.jpg,random_train,
levle1_177,train,images/levle1_177.jpg,seeded_random,
levle1_20,train,images/levle1_20.jpg,duplicate_group,
levle1_23,test,images/levle1_23.jpg,duplicate_group,
levle1_273,test,images/levle1_273.jpg,random_test,
levle1_302,train,images/levle1_302.jpg,seeded_random,
levle1_303,train,images/levle1_303.jpg,random_train,
levle1_342,test,images/levle1_342.jpg,random_test,
levle1_344,val,images/levle1_344.jpg,seeded_random,
levle1_383,val,images/levle1_383.jpg,random_val,
levle1_394,val,images/levle1_394.jpg,random_val,
levle1_450,test,images/levle1_450.jpg,random_test,
levle1_486,train,images/levle1_486.jpg,duplicate_group,
levle1_572,train,images/levle1_572.jpg,duplicate_group,
levle1_574,train,images/levle1_574.jpg,duplicate_group,
levle1_599,train,images/levle1_599.jpg,seeded_random,
levle1_611,val,images/levle1_611.jpg,random_val,
levle1_612,val,images/levle1_612.jpg,random_val,
levle2_128,train,images/levle2_128.jpg,random_train,
levle2_150,val,images/levle2_150.jpg,random_val,
levle2_151,train,images/levle2_151.jpg,duplicate_group,
levle2_153,test,images/levle2_153.jpg,duplicate_group,
levle2_174,train,images/levle2_174.jpg,random_train,
levle2_24,train,images/levle2_24.jpg,seeded_random,
levle2_42,val,images/levle2_42.jpg,random_val,
levle2_7,train,images/levle2_7.jpg,contains_very_small_box,
levle2_76,train,images/levle2_76.jpg,random_train,
levle3_0,train,images/levle3_0.jpg,contains_very_small_box,
levle3_10,train,images/levle3_10.jpg,many_objects,
levle3_102,val,images/levle3_102.jpg,many_objects,
levle3_115,train,images/levle3_115.jpg,many_objects,
levle3_118,train,images/levle3_118.jpg,many_objects,
levle3_123,train,images/levle3_123.jpg,contains_very_small_box,
levle3_128,val,images/levle3_128.jpg,contains_very_small_box,
levle3_137,train,images/levle3_137.jpg,contains_very_small_box,
levle3_141,train,images/levle3_141.jpg,contains_very_small_box,
levle3_16,train,images/levle3_16.jpg,many_objects,
levle3_17,train,images/levle3_17.jpg,many_objects,
levle3_2,train,images/levle3_2.jpg,many_objects,
levle3_20,test,images/levle3_20.jpg,seeded_random,
levle3_22,train,images/levle3_22.jpg,many_objects,
levle3_26,train,images/levle3_26.jpg,contains_very_small_box,
levle3_28,val,images/levle3_28.jpg,contains_very_small_box,
levle3_30,train,images/levle3_30.jpg,contains_very_small_box,
levle3_34,train,images/levle3_34.jpg,many_objects,
levle3_37,test,images/levle3_37.jpg,contains_very_small_box,
levle3_6,train,images/levle3_6.jpg,many_objects,
