duplicate_group_id,image_id,relative_source_image_path,relative_xml_path,preview_path,annotation_fingerprint,group_fingerprints_identical,review_status,reviewer_notes
06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,levle0_131,data/raw/acne04/Classification/JPEGImages/levle0_131.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_131.xml,images/levle0_131.jpg,07ee87f229d775b87b263c1e577a3f58c64cbd86d2b3fc33024c567878dd8a90,no,Pending,
06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,levle0_24,data/raw/acne04/Classification/JPEGImages/levle0_24.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_24.xml,images/levle0_24.jpg,fef2ce2890a50ac7f0d6f56aef2583ce6ebcb92c90479109dbaf88b359e5f02a,no,Pending,
0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,levle0_120,data/raw/acne04/Classification/JPEGImages/levle0_120.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_120.xml,images/levle0_120.jpg,7bd92690c7e5cd8d2b2774f66d9a5a0efcdf9aa0ead6d10271f903a3a4732a2d,no,Pending,
0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,levle1_486,data/raw/acne04/Classification/JPEGImages/levle1_486.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_486.xml,images/levle1_486.jpg,2ce63614f7e864a2f3c87f86627927161b36aa8b6c5ad6d2638b11a08a337c1d,no,Pending,
188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,levle1_23,data/raw/acne04/Classification/JPEGImages/levle1_23.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_23.xml,images/levle1_23.jpg,6a416404468f3f014a86958aacbda65f6f1d21b6e908c25a93a9b0f0de274d49,no,Pending,
188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,levle2_153,data/raw/acne04/Classification/JPEGImages/levle2_153.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle2_153.xml,images/levle2_153.jpg,8b3a2f549a5b2c9493fcacd4b795408f5e988ae6e00f989dd5430ccb57519972,no,Pending,
2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,levle1_572,data/raw/acne04/Classification/JPEGImages/levle1_572.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_572.xml,images/levle1_572.jpg,e66be2189591ea4486c4f566bdf61d74f8caa6c5000b4765933158d161a6e6b6,no,Pending,
2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,levle1_574,data/raw/acne04/Classification/JPEGImages/levle1_574.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_574.xml,images/levle1_574.jpg,6137f9ceae939a1f54c0fd65ad41b1b23ac36985e2ccb476e2e36ee69b91e57d,no,Pending,
2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,levle0_42,data/raw/acne04/Classification/JPEGImages/levle0_42.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_42.xml,images/levle0_42.jpg,f724f312cc39a64cd1bca852f908d1310367fe2c3629ba886cf9157b1d2133bc,no,Pending,
2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,levle0_94,data/raw/acne04/Classification/JPEGImages/levle0_94.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_94.xml,images/levle0_94.jpg,2accac1e12c4e69c8975fcf14d5c1460802d2fadc34850b99850d0d187f379c1,no,Pending,
3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5,levle1_20,data/raw/acne04/Classification/JPEGImages/levle1_20.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_20.xml,images/levle1_20.jpg,b4681e28227fc34cbcab86fa53a70a4cd160ce88484c21b9c76893b54e6de366,no,Pending,
