path,detail
../../Classification/JPEGImages/levle0_131.jpg,Duplicate SHA-256 group: 06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5.
../../Classification/JPEGImages/levle0_24.jpg,Duplicate SHA-256 group: 06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5.
../../Classification/JPEGImages/levle0_120.jpg,Duplicate SHA-256 group: 0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963.
../../Classification/JPEGImages/levle1_486.jpg,Duplicate SHA-256 group: 0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963.
../../Classification/JPEGImages/levle1_23.jpg,Duplicate SHA-256 group: 188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a.
../../Classification/JPEGImages/levle2_153.jpg,Duplicate SHA-256 group: 188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a.
../../Classification/JPEGImages/levle1_572.jpg,Duplicate SHA-256 group: 2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a.
../../Classification/JPEGImages/levle1_574.jpg,Duplicate SHA-256 group: 2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a.
../../Classification/JPEGImages/levle0_42.jpg,Duplicate SHA-256 group: 2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2.
../../Classification/JPEGImages/levle0_94.jpg,Duplicate SHA-256 group: 2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2.
../../Classification/JPEGImages/levle1_20.jpg,Duplicate SHA-256 group: 3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5.
../../Classification/JPEGImages/levle2_151.jpg,Duplicate SHA-256 group: 3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5.
../../Classification/JPEGImages/levle2_70.jpg,Duplicate SHA-256 group: 46417b44b16e0aac18cf592947a2d6e2f6f4ea48bd5b1bf6c8b4893c0fab7533.
../../Classification/JPEGImages/levle2_96.jpg,Duplicate SHA-256 group: 46417b44b16e0aac18cf592947a2d6e2f6f4ea48bd5b1bf6c8b4893c0fab7533.
../../Classification/JPEGImages/levle0_119.jpg,Duplicate SHA-256 group: 4cb2a60071e6d4a135c853b3785580895374341a900eddb38114d42677bf9218.
../../Classification/JPEGImages/levle0_123.jpg,Duplicate SHA-256 group: 4cb2a60071e6d4a135c853b3785580895374341a900eddb38114d42677bf9218.
../../Classification/JPEGImages/levle1_145.jpg,Duplicate SHA-256 group: 56f232f4433dd59a75104e2370b6d2367444046a071b10cee66b1da17bf7862e.
